,GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
0,WHOSIS_000015,Life expectancy at age 60 (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977,PUBLISHED,Published,,2010,2010,,EMR,Eastern Mediterranean,,AFG,Afghanistan,,MLE,Male,,15.1,15.07067,,,,,
1,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2015,2015,,EMR,Eastern Mediterranean,,AFG,Afghanistan,,MLE,Male,,61.0,61.03658,,,,,
2,WHOSIS_000015,Life expectancy at age 60 (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977,PUBLISHED,Published,,2010,2010,,EMR,Eastern Mediterranean,,AFG,Afghanistan,,FMLE,Female,,15.2,15.16855,,,,,
3,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2015,2015,,EMR,Eastern Mediterranean,,AFG,Afghanistan,,FMLE,Female,,62.3,62.34584,,,,,
4,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2015,2015,,EMR,Eastern Mediterranean,,AFG,Afghanistan,,BTSX,Both sexes,,61.7,61.65429,,,,,
5,WHOSIS_000015,Life expectancy at age 60 (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977,PUBLISHED,Published,,2015,2015,,EMR,Eastern Mediterranean,,AFG,Afghanistan,,BTSX,Both sexes,,15.6,15.58858,,,,,
6,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2015,2015,,AFR,Africa,,AGO,Angola,,MLE,Male,,59.1,59.13242,,,,,
7,WHOSIS_000015,Life expectancy at age 60 (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977,PUBLISHED,Published,,2015,2015,,AFR,Africa,,AGO,Angola,,MLE,Male,,15.0,14.99474,,,,,
8,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2015,2015,,AFR,Africa,,AGO,Angola,,FMLE,Female,,64.5,64.49519,,,,,
9,WHOSIS_000015,Life expectancy at age 60 (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977,PUBLISHED,Published,,2015,2015,,AFR,Africa,,AGO,Angola,,FMLE,Female,,18.4,18.41525,,,,,
10,WHOSIS_000015,Life expectancy at age 60 (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977,PUBLISHED,Published,,2015,2015,,AFR,Africa,,AGO,Angola,,BTSX,Both sexes,,16.7,16.70558,,,,,
11,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2019,2019,,AFR,Africa,,AGO,Angola,,BTSX,Both sexes,,63.1,63.06044,,,,,
12,WHOSIS_000015,Life expectancy at age 60 (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977,PUBLISHED,Published,,2015,2015,,EUR,Europe,,ALB,Albania,,MLE,Male,,20.1,20.13324,,,,,
13,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2019,2019,,EUR,Europe,,ALB,Albania,,MLE,Male,,76.3,76.25368,,,,,
14,WHOSIS_000015,Life expectancy at age 60 (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977,PUBLISHED,Published,,2015,2015,,EUR,Europe,,ALB,Albania,,FMLE,Female,,22.2,22.1517,,,,,
